industry_id,rank,symbol,name,weight,rs_score,rs_1m,rs_3m,rs_6m,rs_1y,ret_1y,chg_1w,chg_1m,chg_3m
specialty-chemicals,1,ESI,Element Solutions Inc,0.0164,47.92,12.2,21.9,72.9,85.3,106.5,-5.7,10.7,39.1
specialty-chemicals,2,CLMT,"Calumet, Inc.",0.0045,42.26,2.5,-5.4,73.9,106.1,127.3,7.8,0.9,11.8
specialty-chemicals,3,PRM,"Perimeter Solutions, Inc.",0.0077,36.85,2.3,36.2,9.2,113.9,135.1,-12.6,0.8,53.4
specialty-chemicals,4,PPG,"PPG Industries, Inc.",0.0391,2.42,8.7,0.1,10.3,-12.1,9.1,1.7,7.1,17.2
specialty-chemicals,5,LIN,Linde plc,0.3428,-1.32,3.7,-12.8,13.2,-10.9,10.4,-1.1,2.1,4.4
specialty-chemicals,6,IFF,International Flavors & Fragrances Inc.,0.0283,-3.27,0.1,-8.9,7.7,-14.7,6.5,0.7,-1.4,8.3
building-materials,1,JHX,James Hardie Industries plc,0.0827,13.05,16.6,29.5,18.3,-23.0,-1.7,7.8,15.0,46.6
agricultural-inputs,1,CTVA,"Corteva, Inc.",0.6476,-0.25,5.2,-15.2,16.5,-8.3,12.9,5.7,3.7,1.9
internet-content-information,1,NBIS,None,0.0111,139.54,16.9,141.9,178.7,200.0,221.3,-7.9,15.4,159.0
internet-content-information,2,MTCH,"Match Group, Inc.",0.0015,10.58,8.1,13.9,11.3,7.1,28.4,9.9,6.5,31.0
internet-content-information,3,PPLI,People Incorporated,0.0006,4.8,4.7,2.2,8.7,2.9,24.2,11.7,3.2,19.4
telecom-services,1,IRDM,Iridium Communications Inc.,0.0076,98.17,8.4,78.7,200.0,64.4,85.7,26.1,6.8,95.9
telecom-services,2,TIGO,Millicom International Cellular S.A.,0.0204,55.98,11.6,8.4,69.6,151.3,172.5,8.1,10.1,25.6
entertainment,1,LION,Lionsgate Studios Corp.,0.0059,67.97,11.2,52.9,67.7,147.8,169.0,2.8,9.6,70.1
entertainment,2,ROKU,"Roku, Inc.",0.0261,24.44,5.7,39.5,15.5,34.1,55.3,1.0,4.1,56.7
entertainment,3,SIRI,Sirius XM Holdings Inc.,0.0127,17.03,-0.6,12.1,36.8,12.3,33.5,4.7,-2.1,29.3
entertainment,4,CNK,"Cinemark Holdings, Inc.",0.0049,13.07,21.6,-0.2,37.1,-11.5,9.8,-2.7,20.0,16.9
entertainment,5,LYV,"Live Nation Entertainment, Inc.",0.0548,9.81,10.8,8.1,17.7,-0.6,20.7,7.0,9.3,25.3
advertising-agencies,1,MGNI,"Magnite, Inc.",0.0123,14.72,33.9,46.8,7.7,-42.1,-20.8,9.5,32.4,63.9
internet-retail,1,ETSY,"Etsy, Inc.",0.0026,37.37,20.8,51.2,34.4,37.6,58.8,9.8,19.3,68.4
internet-retail,2,EBAY,eBay Inc.,0.0171,15.92,0.6,9.1,23.9,29.5,50.7,5.6,-0.9,26.3
restaurants,1,CAKE,The Cheesecake Factory Incorporated,0.0078,29.87,25.0,30.3,47.2,7.9,29.2,3.2,23.5,47.5
restaurants,2,BROS,Dutch Bros Inc.,0.0194,14.48,28.3,36.4,3.9,-16.4,4.9,7.0,26.8,53.5
restaurants,3,SBUX,Starbucks Corporation,0.2342,6.05,4.8,3.4,16.7,-4.7,16.6,3.9,3.3,20.6
restaurants,4,EAT,"Brinker International, Inc.",0.0142,2.01,21.3,8.2,3.1,-28.3,-7.0,1.9,19.7,25.4
restaurants,5,TXRH,"Texas Roadhouse, Inc.",0.0252,1.96,9.5,4.4,6.6,-16.1,5.2,7.8,7.9,21.5
travel-services,1,VIK,None,0.101,39.8,15.2,35.9,36.2,75.7,96.9,4.9,13.7,53.0
travel-services,2,GBTG,"Global Business Travel Group, Inc.",0.0106,27.34,0.3,59.0,13.4,27.8,49.0,0.0,-1.3,76.2
travel-services,3,RCL,Royal Caribbean Cruises Ltd.,0.1859,2.66,16.4,6.3,2.9,-16.9,4.4,3.9,14.9,23.4
auto-parts,1,GTX,Garrett Motion Inc.,0.0229,94.08,7.2,80.8,94.6,200.0,221.3,1.7,5.6,98.0
auto-parts,2,BWA,BorgWarner Inc.,0.0472,27.23,-5.8,4.6,37.9,78.2,99.4,-8.9,-7.4,21.8
auto-parts,3,AAP,"Advance Auto Parts, Inc.",0.013,17.61,4.5,2.9,43.5,13.9,35.2,11.2,3.0,20.0
apparel-retail,1,VSXY,None,0.0225,90.66,46.6,86.4,51.4,200.0,221.3,7.3,45.1,103.6
lodging,1,MAR,"Marriott International, Inc.",0.4818,6.97,-1.3,1.1,11.5,17.2,38.4,-2.4,-2.8,18.3
