rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
1,technology,sector,Technology,Technology,XLK,,,,-1.7,36.8,24.4,45.2,0.9,23.6,17.9,25.3,17.68,
2,industrials,sector,Industrials,Industrials,XLI,,,,4.2,12.6,16.0,25.0,6.8,-0.7,9.5,5.2,5.05,
3,real-estate,sector,Real Estate,Real Estate,XLRE,,,,2.3,13.3,14.3,13.8,4.9,-0.0,7.8,-6.1,2.1,
4,healthcare,sector,Healthcare,Healthcare,XLV,,,,8.2,10.5,4.3,21.8,10.8,-2.8,-2.2,1.9,1.06,
5,basic-materials,sector,Basic Materials,Basic Materials,XLB,,,,1.2,5.5,13.7,19.6,3.8,-7.8,7.2,-0.3,0.52,
6,energy,sector,Energy,Energy,XLE,,,,-4.8,-11.9,22.7,30.2,-2.2,-25.1,16.1,10.3,-1.09,
7,utilities,sector,Utilities,Utilities,XLU,,,,3.0,2.6,9.9,16.8,5.6,-10.7,3.3,-3.1,-1.71,
8,consumer-defensive,sector,Consumer Defensive,Consumer Defensive,XLP,,,,0.8,5.1,10.7,8.1,3.5,-8.2,4.1,-11.8,-2.88,
9,financial-services,sector,Financial Services,Financial Services,XLF,,,,4.5,9.6,-2.5,4.7,7.2,-3.7,-9.0,-15.1,-5.42,
10,consumer-cyclical,sector,Consumer Cyclical,Consumer Cyclical,XLY,,,,-5.7,5.3,-6.0,5.5,-3.1,-8.0,-12.5,-14.4,-9.66,
11,communication-services,sector,Communication Services,Communication Services,XLC,,,,-8.4,-2.2,-9.0,-0.2,-5.8,-15.5,-15.6,-20.0,-14.47,
1,computer-hardware,industry,Computer Hardware,Technology,22 cons,22,1.0,7,7.2,101.9,126.9,144.4,9.9,88.6,120.4,124.5,89.57,24.71
2,semiconductor-equipment-materials,industry,Semiconductor Equipment & Materials,Technology,29 cons,29,1.0,17,17.5,63.7,112.7,193.7,20.1,50.4,106.1,173.8,85.72,82.66
3,semiconductors,industry,Semiconductors,Technology,49 cons,49,1.0,12,0.5,105.1,100.8,128.9,3.1,91.8,94.3,109.1,78.26,50.28
4,electronic-components,industry,Electronic Components,Technology,32 cons,32,1.0,7,3.0,53.3,73.4,120.6,5.6,40.0,66.9,100.7,53.33,51.49
5,electrical-equipment-parts,industry,Electrical Equipment & Parts,Industrials,29 cons,29,1.0,5,-0.4,40.4,71.1,125.2,2.2,27.1,64.6,105.3,49.03,13.96
6,other-industrial-metals-mining,industry,Other Industrial Metals & Mining,Basic Materials,14 cons,14,1.0,2,-4.1,31.8,49.7,134.1,-1.5,18.5,43.2,114.2,41.04,22.32
7,engineering-construction,industry,Engineering & Construction,Industrials,35 cons,35,1.0,5,0.2,31.0,56.8,104.1,2.8,17.7,50.3,84.2,37.78,23.04
8,communication-equipment,industry,Communication Equipment,Technology,32 cons,32,1.0,8,-7.3,22.1,60.8,118.5,-4.7,8.8,54.3,98.6,37.73,25.01
9,luxury-goods,industry,Luxury Goods,Consumer Cyclical,6 cons,6,1.0,1,10.7,29.7,31.8,108.7,13.3,16.4,25.2,88.8,32.93,20.16
10,reit-hotel-motel,industry,REIT - Hotel & Motel,Real Estate,11 cons,11,1.0,0,15.6,42.0,47.5,60.1,18.2,28.7,41.0,40.3,32.6,33.11
11,copper,industry,Copper,Basic Materials,4 cons,4,1.0,1,21.4,37.1,38.3,74.8,24.1,23.8,31.8,54.9,32.46,10.81
12,scientific-technical-instruments,industry,Scientific & Technical Instruments,Technology,23 cons,23,1.0,4,1.4,24.0,51.3,86.2,4.0,10.7,44.8,66.3,30.71,12.87
13,healthcare-plans,industry,Healthcare Plans,Healthcare,11 cons,11,1.0,0,13.5,64.5,36.9,29.3,16.1,51.3,30.3,9.4,29.57,29.97
14,electronics-computer-distribution,industry,Electronics & Computer Distribution,Technology,8 cons,8,1.0,0,5.4,44.1,50.2,43.3,8.0,30.8,43.7,23.4,28.64,22.3
15,trucking,industry,Trucking,Industrials,13 cons,13,1.0,0,0.9,35.4,50.1,58.4,3.5,22.1,43.6,38.5,28.09,27.55
