industry_id,rank,symbol,name,weight,rs_score,rs_1m,rs_3m,rs_6m,rs_1y,ret_1y,chg_1w,chg_1m,chg_3m
specialty-chemicals,1,ESI,Element Solutions Inc,0.0152,33.66,3.8,31.9,55.3,,111.2,12.3,3.7,44.2
specialty-chemicals,2,PRM,"Perimeter Solutions, Inc.",0.0074,28.34,7.0,53.0,17.8,,174.4,17.0,6.9,65.3
specialty-chemicals,3,SOLS,"Solstice Advanced Materials, Inc.",0.0194,21.85,-6.1,1.2,61.1,,,2.5,-6.1,13.5
specialty-chemicals,4,PPG,"PPG Industries, Inc.",0.0392,9.82,13.2,5.6,11.8,,,4.9,13.2,17.9
specialty-chemicals,5,AXTA,Axalta Coating Systems Ltd.,0.0093,8.93,20.0,8.6,1.9,,14.3,6.1,19.9,20.9
specialty-chemicals,6,LIN,Linde plc,0.3444,8.01,2.4,-6.0,25.7,,,3.1,2.3,6.3
specialty-chemicals,7,IFF,International Flavors & Fragrances Inc.,0.028,5.32,1.1,0.8,12.7,,,7.2,1.0,13.1
specialty-chemicals,8,EMN,Eastman Chemical Company,0.0123,3.97,5.1,-2.9,10.1,,2.6,6.2,5.1,9.4
specialty-chemicals,9,DD,"DuPont de Nemours, Inc.",0.0293,0.9,-5.2,-4.4,10.3,,,3.0,-5.3,7.9
copper,1,FCX,Freeport-McMoRan Inc.,0.3657,19.15,6.1,9.0,38.0,,69.3,9.7,6.0,21.3
copper,2,SCCO,Southern Copper Corporation,0.6262,9.93,2.6,-1.3,26.1,,112.9,13.3,2.5,11.0
building-materials,1,JHX,James Hardie Industries plc,0.0732,13.73,20.7,10.6,12.3,,,6.5,20.6,22.9
steel,1,STLD,"Steel Dynamics, Inc.",0.2972,46.68,19.3,54.0,57.6,,,5.3,19.3,66.3
steel,2,NUE,Nucor Corporation,0.4502,43.38,14.7,51.2,54.7,,,4.7,14.6,63.5
chemicals,1,HUN,Huntsman Corporation,0.0617,24.85,9.5,18.5,41.4,,,10.8,9.4,30.8
