rank,id,level,name,sector,proxy,n_constituents,coverage,clipped,ret_1m,ret_3m,ret_6m,ret_1y,rs_1m,rs_3m,rs_6m,rs_1y,rs_score,rs_median
1,technology,sector,Technology,Technology,XLK,,,,4.5,35.3,24.6,,4.6,23.0,16.1,,15.79,
2,energy,sector,Energy,Energy,XLE,,,,-0.1,0.4,26.5,,-0.1,-11.9,18.0,,2.27,
3,basic-materials,sector,Basic Materials,Basic Materials,XLB,,,,0.2,6.6,19.1,,0.3,-5.8,10.6,,1.89,
4,industrials,sector,Industrials,Industrials,XLI,,,,1.5,7.3,13.6,,1.5,-5.0,5.1,,0.43,
5,real-estate,sector,Real Estate,Real Estate,XLRE,,,,2.5,6.4,12.2,11.0,2.5,-5.9,3.7,,-0.19,
6,consumer-defensive,sector,Consumer Defensive,Consumer Defensive,XLP,,,,1.3,1.8,11.2,,1.4,-10.5,2.7,,-2.56,
7,financial-services,sector,Financial Services,Financial Services,XLF,,,,4.6,9.7,-0.2,,4.7,-2.6,-8.7,,-3.07,
8,healthcare,sector,Healthcare,Healthcare,XLV,,,,4.8,3.1,1.9,,4.9,-9.2,-6.5,,-4.68,
9,consumer-cyclical,sector,Consumer Cyclical,Consumer Cyclical,XLY,,,,-1.8,5.4,-2.2,,-1.7,-6.9,-10.7,,-7.03,
10,utilities,sector,Utilities,Utilities,XLU,,,,-0.3,-4.5,5.7,,-0.2,-16.8,-2.8,,-7.4,
11,communication-services,sector,Communication Services,Communication Services,XLC,,,,-4.2,-2.4,-3.3,8.9,-4.1,-14.7,-11.8,,-10.99,
1,computer-hardware,industry,Computer Hardware,Technology,23 cons,23,1.0,3,22.1,103.8,127.8,,22.2,91.4,119.3,,84.59,30.75
2,semiconductors,industry,Semiconductors,Technology,50 cons,50,1.0,6,6.3,93.1,96.7,,6.4,80.8,88.2,,64.99,57.45
3,semiconductor-equipment-materials,industry,Semiconductor Equipment & Materials,Technology,29 cons,29,1.0,5,18.1,64.4,102.7,,18.1,52.1,94.2,,59.38,67.79
4,trucking,industry,Trucking,Industrials,13 cons,13,1.0,0,24.8,56.9,57.1,,24.8,44.6,48.6,,41.15,39.55
5,electronic-components,industry,Electronic Components,Technology,33 cons,33,1.0,1,4.5,52.0,59.5,,4.6,39.7,51.0,,35.15,39.32
6,communication-equipment,industry,Communication Equipment,Technology,32 cons,32,1.0,3,3.4,39.1,73.1,,3.4,26.8,64.6,,35.13,29.29
7,electronics-computer-distribution,industry,Electronics & Computer Distribution,Technology,8 cons,8,1.0,0,15.9,46.8,49.7,,16.0,34.5,41.2,,32.37,22.45
8,steel,industry,Steel,Basic Materials,11 cons,11,1.0,1,14.3,52.9,43.1,,14.4,40.6,34.6,,31.77,25.34
9,electrical-equipment-parts,industry,Electrical Equipment & Parts,Industrials,29 cons,29,1.0,1,-1.0,39.8,63.5,,-0.9,27.5,55.0,,30.69,8.86
10,healthcare-plans,industry,Healthcare Plans,Healthcare,10 cons,10,1.0,0,7.8,58.4,34.8,,7.9,46.1,26.3,,29.12,18.24
11,reit-hotel-motel,industry,REIT - Hotel & Motel,Real Estate,11 cons,11,1.0,0,18.8,40.3,41.3,,18.9,28.0,32.8,,27.52,26.36
12,aluminum,industry,Aluminum,Basic Materials,4 cons,4,1.0,0,-1.2,17.9,73.6,,-1.1,5.6,65.2,,26.26,36.73
13,textile-manufacturing,industry,Textile Manufacturing,Consumer Cyclical,2 cons,2,1.0,0,17.5,36.8,35.9,,17.6,24.5,27.4,,23.89,25.53
14,luxury-goods,industry,Luxury Goods,Consumer Cyclical,6 cons,6,1.0,0,20.4,37.2,28.6,,20.5,24.9,20.1,,21.97,2.73
15,electronic-gaming-multimedia,industry,Electronic Gaming & Multimedia,Communication Services,7 cons,7,1.0,1,6.6,50.0,24.3,,6.7,37.7,15.8,,21.74,-6.55
16,engineering-construction,industry,Engineering & Construction,Industrials,35 cons,35,1.0,1,-3.8,29.5,50.8,,-3.8,17.2,42.3,,21.37,7.99
17,staffing-employment-services,industry,Staffing & Employment Services,Industrials,12 cons,12,1.0,0,23.6,42.4,14.7,,23.7,30.1,6.2,,19.52,23.59
18,scientific-technical-instruments,industry,Scientific & Technical Instruments,Technology,24 cons,24,1.0,2,1.2,24.2,46.1,,1.2,11.9,37.6,,18.86,16.98
19,metal-fabrication,industry,Metal Fabrication,Industrials,15 cons,15,1.0,1,13.2,27.4,32.0,,13.2,15.1,23.5,,17.78,9.92
20,integrated-freight-logistics,industry,Integrated Freight & Logistics,Industrials,16 cons,16,1.0,1,15.4,25.4,29.0,,15.4,13.1,20.5,,16.43,17.75
21,publishing,industry,Publishing,Communication Services,6 cons,6,1.0,0,7.7,11.0,44.2,,7.8,-1.3,35.7,,14.82,15.09
22,rental-leasing-services,industry,Rental & Leasing Services,Industrials,17 cons,17,1.0,0,8.2,30.0,22.5,,8.2,17.7,14.0,,13.93,12.61
23,oil-gas-equipment-services,industry,Oil & Gas Equipment & Services,Energy,41 cons,41,1.0,1,-2.5,16.7,39.9,,-2.5,4.4,31.4,,12.84,7.45
24,marine-shipping,industry,Marine Shipping,Industrials,22 cons,22,1.0,0,1.0,17.9,36.2,,1.1,5.6,27.7,,12.77,9.62
25,airlines,industry,Airlines,Industrials,12 cons,12,1.0,0,17.5,30.1,8.4,,17.6,17.8,-0.1,,11.02,9.41
26,lodging,industry,Lodging,Consumer Cyclical,7 cons,7,1.0,0,5.2,17.9,27.1,,5.3,5.6,18.6,,10.38,10.48
27,solar,industry,Solar,Technology,10 cons,10,1.0,0,2.0,23.7,23.3,,2.0,11.4,14.8,,10.34,15.95
28,reit-office,industry,REIT - Office,Real Estate,16 cons,16,1.0,0,12.7,28.6,10.9,,12.8,16.3,2.4,,10.23,10.22
29,other-industrial-metals-mining,industry,Other Industrial Metals & Mining,Basic Materials,16 cons,16,1.0,0,-5.9,17.4,32.1,,-5.8,5.1,23.6,,9.3,-9.6
30,oil-gas-drilling,industry,Oil & Gas Drilling,Energy,8 cons,8,1.0,0,-10.5,0.5,51.9,,-10.4,-11.8,43.4,,9.25,6.42
31,food-distribution,industry,Food Distribution,Consumer Defensive,11 cons,11,1.0,0,4.8,12.6,29.3,,4.9,0.3,20.8,,9.11,5.51
32,apparel-manufacturing,industry,Apparel Manufacturing,Consumer Cyclical,18 cons,18,1.0,0,13.5,21.4,13.8,,13.5,9.1,5.3,,8.79,10.51
33,copper,industry,Copper,Basic Materials,3 cons,3,1.0,0,1.0,12.3,30.2,,1.1,-0.0,21.7,,8.4,9.93
34,banks-diversified,industry,Banks - Diversified,Financial Services,10 cons,10,1.0,0,10.1,21.5,13.9,,10.2,9.2,5.4,,8.04,8.07
35,oil-gas-refining-marketing,industry,Oil & Gas Refining & Marketing,Energy,16 cons,16,1.0,0,0.9,9.7,31.4,,1.0,-2.6,22.9,,7.88,0.59
36,capital-markets,industry,Capital Markets,Financial Services,50 cons,50,1.0,1,4.4,25.5,11.1,,4.5,13.2,2.6,,7.04,-0.82
37,tools-accessories,industry,Tools & Accessories,Industrials,12 cons,12,1.0,0,5.0,11.4,23.5,,5.1,-0.9,15.0,,6.56,-0.61
38,footwear-accessories,industry,Footwear & Accessories,Consumer Cyclical,11 cons,11,1.0,0,20.8,20.9,3.2,,20.9,8.6,-5.3,,6.44,4.46
39,internet-content-information,industry,Internet Content & Information,Communication Services,31 cons,31,1.0,0,3.8,23.2,10.6,,3.9,10.9,2.1,,5.87,-10.03
40,chemicals,industry,Chemicals,Basic Materials,14 cons,14,1.0,0,-6.1,4.4,35.2,,-6.0,-7.9,26.8,,5.56,4.31
41,resorts-casinos,industry,Resorts & Casinos,Consumer Cyclical,15 cons,15,1.0,0,14.7,15.0,10.3,,14.7,2.7,1.8,,5.38,3.26
42,railroads,industry,Railroads,Industrials,8 cons,8,1.0,0,1.4,14.3,19.8,,1.4,2.0,11.3,,5.34,5.11
43,reit-retail,industry,REIT - Retail,Real Estate,25 cons,25,1.0,0,6.4,8.7,21.5,,6.4,-3.6,13.0,,5.1,6.71
44,insurance-life,industry,Insurance - Life,Financial Services,18 cons,18,1.0,0,7.6,19.3,9.4,,7.7,7.0,0.9,,4.89,0.18
45,conglomerates,industry,Conglomerates,Industrials,20 cons,20,1.0,0,5.6,14.0,15.4,,5.7,1.7,6.9,,4.64,1.42
46,department-stores,industry,Department Stores,Consumer Cyclical,4 cons,4,1.0,0,27.4,22.6,-7.9,,27.5,10.3,-16.3,,4.59,2.08
47,banks-regional,industry,Banks - Regional,Financial Services,50 cons,50,1.0,0,10.0,16.2,9.9,,10.1,3.9,1.4,,4.5,5.48
48,financial-conglomerates,industry,Financial Conglomerates,Financial Services,5 cons,5,1.0,0,4.0,12.5,17.3,,4.0,0.2,8.8,,4.41,1.48
